System;Station;Commodity;Sell;Buy;Demand;;Supply;;Date;
L 639-45;Walker Orbital;Explosives;302;;36734;Low;;;2015-02-01T22:44:07+00:00;
L 639-45;Walker Orbital;Hydrogen Fuel;107;112;;;115302;Med;2015-02-01T22:44:07+00:00;
L 639-45;Walker Orbital;Clothing;233;251;;;39693;Med;2015-02-01T22:44:07+00:00;
L 639-45;Walker Orbital;Consumer Technology;7547;;7968;High;;;2015-02-01T22:44:07+00:00;
L 639-45;Walker Orbital;Domestic Appliances;430;452;;;22772;Med;2015-02-01T22:44:07+00:00;
L 639-45;Walker Orbital;Algae;223;;210478;Med;;;2015-02-01T22:44:07+00:00;
L 639-45;Walker Orbital;Animal Meat;1294;;3335;Low;;;2015-02-01T22:44:07+00:00;
L 639-45;Walker Orbital;Coffee;1294;;1425;Low;;;2015-02-01T22:44:07+00:00;
L 639-45;Walker Orbital;Fish;501;;27588;Med;;;2015-02-01T22:44:07+00:00;
L 639-45;Walker Orbital;Food Cartridges;35;45;;;74265;High;2015-02-01T22:44:07+00:00;
L 639-45;Walker Orbital;Fruit And Vegetables;317;;5141;Low;;;2015-02-01T22:44:07+00:00;
L 639-45;Walker Orbital;Grain;209;;25414;Low;;;2015-02-01T22:44:07+00:00;
L 639-45;Walker Orbital;Synthetic Meat;343;;9515;Med;;;2015-02-01T22:44:07+00:00;
L 639-45;Walker Orbital;Tea;1468;;3159;Low;;;2015-02-01T22:44:07+00:00;
;Walker Orbital;Polymers;276;;2527553;High;;;2015-02-01T22:44:16+00:00;
;Walker Orbital;Semiconductors;1170;;694415;High;;;2015-02-01T22:44:16+00:00;
;Walker Orbital;Superconductors;7453;;66938;Med;;;2015-02-01T22:44:16+00:00;
;Walker Orbital;Beer;197;;25066;Low;;;2015-02-01T22:44:16+00:00;
;Walker Orbital;Liquor;800;;1195;Med;;;2015-02-01T22:44:16+00:00;
;Walker Orbital;Wine;254;;16227;Low;;;2015-02-01T22:44:16+00:00;
;Walker Orbital;Atmospheric Processors;306;322;;;27050;Med;2015-02-01T22:44:16+00:00;
;Walker Orbital;Crop Harvesters;2008;2043;;;192532;Med;2015-02-01T22:44:16+00:00;
;Walker Orbital;Marine Equipment;3967;4033;;;11678;Med;2015-02-01T22:44:16+00:00;
;Walker Orbital;Mineral Extractors;467;490;;;239192;Med;2015-02-01T22:44:16+00:00;
;Walker Orbital;Power Generators;420;441;;;63698;Med;2015-02-01T22:44:16+00:00;
;Walker Orbital;Water Purifiers;222;239;;;13048;Med;2015-02-01T22:44:16+00:00;
;Walker Orbital;Basic Medicines;223;240;;;35503;Med;2015-02-01T22:44:16+00:00;
;Walker Orbital;Performance Enhancers;7547;;9694;High;;;2015-02-01T22:44:16+00:00;
;Walker Orbital;Progenitor Cells;7197;;2466;Med;;;2015-02-01T22:44:23+00:00;
;Walker Orbital;Aluminium;479;;327735;Med;;;2015-02-01T22:44:23+00:00;
;Walker Orbital;Beryllium;9126;;61043;High;;;2015-02-01T22:44:23+00:00;
;Walker Orbital;Cobalt;876;;82463;Med;;;2015-02-01T22:44:23+00:00;
;Walker Orbital;Copper;631;;1049707;Med;;;2015-02-01T22:44:23+00:00;
;Walker Orbital;Gallium;5856;;175805;High;;;2015-02-01T22:44:23+00:00;
;Walker Orbital;Gold;10328;;110497;High;;;2015-02-01T22:44:23+00:00;
;Walker Orbital;Indium;6562;;73857;Med;;;2015-02-01T22:44:23+00:00;
;Walker Orbital;Lithium;1936;;428634;High;;;2015-02-01T22:44:23+00:00;
;Walker Orbital;Palladium;13986;;12703;Med;;;2015-02-01T22:44:23+00:00;
;Walker Orbital;Platinum;19813;;6417;High;;;2015-02-01T22:44:23+00:00;
;Walker Orbital;Silver;5476;;185176;High;;;2015-02-01T22:44:23+00:00;
