System;Station;Commodity;Sell;Buy;Demand;;Supply;;Date;
LP 926-40;Lee City;Explosives;189;205;;;40820;Med;2015-02-01T22:10:23+00:00;
LP 926-40;Lee City;Hydrogen Fuel;101;106;;;449212;Med;2015-02-01T22:10:23+00:00;
LP 926-40;Lee City;Mineral Oil;218;;326922;Med;;;2015-02-01T22:10:23+00:00;
LP 926-40;Lee City;Clothing;208;225;;;166312;Med;2015-02-01T22:10:23+00:00;
LP 926-40;Lee City;Consumer Technology;7423;;25996;High;;;2015-02-01T22:10:23+00:00;
LP 926-40;Lee City;Domestic Appliances;422;446;;;12057;Med;2015-02-01T22:10:23+00:00;
LP 926-40;Lee City;Algae;243;;1118149;Med;;;2015-02-01T22:10:23+00:00;
LP 926-40;Lee City;Animal Meat;1288;;1853;Low;;;2015-02-01T22:10:23+00:00;
LP 926-40;Lee City;Coffee;1288;;463;Low;;;2015-02-01T22:10:23+00:00;
LP 926-40;Lee City;Fish;540;;127393;Med;;;2015-02-01T22:10:23+00:00;
LP 926-40;Lee City;Food Cartridges;34;45;;;353577;High;2015-02-01T22:10:23+00:00;
LP 926-40;Lee City;Fruit And Vegetables;316;;1671;Low;;;2015-02-01T22:10:23+00:00;
LP 926-40;Lee City;Grain;208;;11156;Low;;;2015-02-01T22:10:23+00:00;
LP 926-40;Lee City;Synthetic Meat;356;;25705;Med;;;2015-02-01T22:10:23+00:00;
LP 926-40;Lee City;Tea;1461;;1681;Low;;;2015-02-01T22:10:23+00:00;
;Lee City;Polymers;236;;1597915;Med;;;2015-02-01T22:10:40+00:00;
;Lee City;Semiconductors;1138;;2729;Med;;;2015-02-01T22:10:40+00:00;
;Lee City;Superconductors;7144;;229314;Med;;;2015-02-01T22:10:40+00:00;
;Lee City;Liquor;781;;1222;Med;;;2015-02-01T22:10:40+00:00;
;Lee City;Tobacco;4951;;9211;Med;;;2015-02-01T22:10:40+00:00;
;Lee City;Wine;253;;8634;Low;;;2015-02-01T22:10:40+00:00;
;Lee City;Atmospheric Processors;255;269;;;324336;High;2015-02-01T22:10:40+00:00;
;Lee City;Crop Harvesters;1916;1958;;;865645;Med;2015-02-01T22:10:40+00:00;
;Lee City;Marine Equipment;3673;3751;;;806482;High;2015-02-01T22:10:40+00:00;
;Lee City;Microbial Furnaces;200;;25374;Low;;;2015-02-01T22:10:40+00:00;
